,Date,DailyRevenue
118,2010-04-30,24532.95
119,2010-05-02,12342.17
120,2010-05-04,18945.33
121,2010-05-05,23625.22
122,2010-05-06,51704.13
123,2010-05-07,31976.09
124,2010-05-09,22852.06
125,2010-05-10,26496.43
126,2010-05-11,25201.04
127,2010-05-12,29744.74
128,2010-05-13,38966.0
129,2010-05-14,16895.24
130,2010-05-16,18370.09
131,2010-05-17,23290.76
132,2010-05-18,26164.58
133,2010-05-19,16575.5
134,2010-05-20,25331.44
135,2010-05-21,22494.36
136,2010-05-23,24824.93
137,2010-05-24,33536.19
138,2010-05-25,20415.92
139,2010-05-26,29586.64
140,2010-05-27,29221.670000000002
141,2010-05-28,18569.88
142,2010-05-30,10702.97
143,2010-06-01,13093.79
144,2010-06-02,13714.76
145,2010-06-03,26644.63
146,2010-06-04,11447.73
147,2010-06-06,25457.15
148,2010-06-07,45523.11
149,2010-06-08,48215.48
150,2010-06-09,36508.94
151,2010-06-10,18009.12
152,2010-06-11,30835.29
153,2010-06-13,21147.77
154,2010-06-14,21317.37
155,2010-06-15,26937.46
156,2010-06-16,29229.94
157,2010-06-17,22635.35
158,2010-06-18,17788.69
159,2010-06-20,9078.58
160,2010-06-21,18116.21
161,2010-06-22,12414.03
162,2010-06-23,25098.24
163,2010-06-24,17217.85
164,2010-06-25,12371.59
165,2010-06-27,18706.920000000002
166,2010-06-28,51132.78
167,2010-06-29,32236.920000000002
168,2010-06-30,31491.43
169,2010-07-01,28830.02
170,2010-07-02,16726.13
171,2010-07-04,10376.29
172,2010-07-05,30963.57
173,2010-07-06,19917.28
174,2010-07-07,24902.95
175,2010-07-08,19973.45
176,2010-07-09,33408.64
177,2010-07-11,7609.2300000000005
178,2010-07-12,16101.17
179,2010-07-13,17419.12
180,2010-07-14,19418.63
181,2010-07-15,55836.91
182,2010-07-16,21137.760000000002
183,2010-07-18,14581.99
184,2010-07-19,28611.56
185,2010-07-20,23124.39
186,2010-07-21,19142.73
187,2010-07-22,21620.39
188,2010-07-23,23886.33
189,2010-07-25,17230.6
190,2010-07-26,20232.85
191,2010-07-27,28265.86
192,2010-07-28,23252.72
193,2010-07-29,32801.91
194,2010-07-30,14363.69
195,2010-08-01,30637.95
196,2010-08-02,26124.16
197,2010-08-03,22362.79
198,2010-08-04,17555.5
199,2010-08-05,23145.06
200,2010-08-06,14728.15
201,2010-08-08,13950.71
202,2010-08-09,31336.59
203,2010-08-10,28209.74
204,2010-08-11,18629.86
205,2010-08-12,26031.28
206,2010-08-13,15150.14
207,2010-08-15,20484.46
208,2010-08-16,14270.74
209,2010-08-17,28802.52
210,2010-08-18,35122.520000000004
211,2010-08-19,30663.35
212,2010-08-20,23250.77
213,2010-08-22,22677.01
214,2010-08-23,20655.35
215,2010-08-24,26577.16
216,2010-08-25,30466.760000000002
217,2010-08-26,31964.34
218,2010-08-27,12166.64
219,2010-08-29,14449.3
220,2010-08-31,22811.75
221,2010-09-01,20351.36
222,2010-09-02,33430.57
223,2010-09-03,34739.16
224,2010-09-05,12286.710000000001
225,2010-09-06,23717.79
226,2010-09-07,24397.45
227,2010-09-08,16175.220000000001
228,2010-09-09,23526.38
229,2010-09-10,15988.35
230,2010-09-12,15528.75
231,2010-09-13,32892.16
232,2010-09-14,19705.02
233,2010-09-15,33812.4
234,2010-09-16,27099.271
235,2010-09-17,19486.54
236,2010-09-19,22783.53
237,2010-09-20,38563.96
238,2010-09-21,54698.89
239,2010-09-22,27208.8
240,2010-09-23,34305.1
241,2010-09-24,47106.39
242,2010-09-26,21703.9
243,2010-09-27,115172.24
244,2010-09-28,40015.41
245,2010-09-29,36740.03
246,2010-09-30,37578.57
247,2010-10-01,34550.89
248,2010-10-03,38335.52
249,2010-10-04,34956.56
250,2010-10-05,55108.91
251,2010-10-06,30355.010000000002
252,2010-10-07,47610.92
253,2010-10-08,51836.73
254,2010-10-10,23139.31
255,2010-10-11,39962.9
256,2010-10-12,46566.35
257,2010-10-13,51564.7
258,2010-10-14,86945.13
259,2010-10-15,42398.82
260,2010-10-17,31176.14
261,2010-10-18,36591.44
262,2010-10-19,46577.64
263,2010-10-20,43387.26
264,2010-10-21,32847.8
265,2010-10-22,32843.94
266,2010-10-24,28634.59
267,2010-10-25,27945.06
268,2010-10-26,42545.95
269,2010-10-27,30480.55
270,2010-10-28,30701.3
271,2010-10-29,36100.95
272,2010-10-31,29947.64
273,2010-11-01,20730.24
274,2010-11-02,42866.91
275,2010-11-03,42870.87
276,2010-11-04,83876.12
277,2010-11-05,40907.93
278,2010-11-07,31345.79
279,2010-11-08,32303.991
280,2010-11-09,53013.21
281,2010-11-10,73575.93000000001
282,2010-11-11,59712.61
283,2010-11-12,36167.25
284,2010-11-14,27934.71
285,2010-11-15,42964.04
286,2010-11-16,63788.840000000004
287,2010-11-17,45726.741
288,2010-11-18,37074.97
289,2010-11-19,39999.42
290,2010-11-21,32056.05
291,2010-11-22,31724.88
292,2010-11-23,49805.35
293,2010-11-24,41138.6
294,2010-11-25,67870.96
295,2010-11-26,28828.04
296,2010-11-28,27125.16
297,2010-11-29,63245.18
298,2010-11-30,49806.23
299,2010-12-01,46192.49
300,2010-12-02,47197.57
301,2010-12-03,23876.63
302,2010-12-05,31361.28
303,2010-12-06,31009.33
304,2010-12-07,53730.96
305,2010-12-08,39094.2
306,2010-12-09,38193.91
307,2010-12-10,33488.38
308,2010-12-12,17102.35
309,2010-12-13,27578.34
310,2010-12-14,29235.13
311,2010-12-15,30251.47
312,2010-12-16,48791.87
313,2010-12-17,19966.36
314,2010-12-19,7292.95
315,2010-12-20,19599.06
316,2010-12-21,15929.16
317,2010-12-22,4886.52
318,2010-12-23,5644.77
319,2011-01-04,12105.11
320,2011-01-05,28799.43
321,2011-01-06,34343.79
322,2011-01-07,23797.79
323,2011-01-09,15590.68
324,2011-01-10,15330.83
325,2011-01-11,60243.73
326,2011-01-12,17124.74
327,2011-01-13,15159.46
328,2011-01-14,39509.7
329,2011-01-16,6976.39
330,2011-01-17,16527.05
331,2011-01-18,87559.21
332,2011-01-19,21586.78
333,2011-01-20,15197.08
334,2011-01-21,24276.01
335,2011-01-23,10306.1
336,2011-01-24,17601.87
337,2011-01-25,23994.38
338,2011-01-26,17424.45
339,2011-01-27,22050.49
340,2011-01-28,17247.2
341,2011-01-30,6542.61
342,2011-01-31,18806.43
343,2011-02-01,26358.7
344,2011-02-02,17091.15
345,2011-02-03,22171.9
346,2011-02-04,18087.96
347,2011-02-06,3439.67
348,2011-02-07,23382.97
349,2011-02-08,14153.34
350,2011-02-09,11910.83
351,2011-02-10,14155.36
352,2011-02-11,18579.96
353,2011-02-13,5645.4800000000005
354,2011-02-14,22999.39
355,2011-02-15,37750.62
356,2011-02-16,23413.97
357,2011-02-17,17659.64
358,2011-02-18,14438.73
359,2011-02-20,9437.8
360,2011-02-21,32724.38
361,2011-02-22,29116.63
362,2011-02-23,19315.97
363,2011-02-24,21463.94
364,2011-02-25,18377.14
365,2011-02-27,9382.710000000001
366,2011-02-28,15026.68
367,2011-03-01,23621.59
368,2011-03-02,18666.14
369,2011-03-03,32818.19
370,2011-03-04,17302.55
371,2011-03-06,9951.67
372,2011-03-07,20247.850000000002
373,2011-03-08,22184.11
374,2011-03-09,20320.23
375,2011-03-10,24429.77
376,2011-03-11,20894.75
377,2011-03-13,4117.22
378,2011-03-14,25866.33
379,2011-03-15,14896.28
380,2011-03-16,21715.11
381,2011-03-17,31976.510000000002
382,2011-03-18,23334.600000000002
383,2011-03-20,19880.99
384,2011-03-21,16020.1
385,2011-03-22,19016.94
386,2011-03-23,21566.02
387,2011-03-24,36496.79
388,2011-03-25,27271.1
389,2011-03-27,9189.77
390,2011-03-28,19961.67
391,2011-03-29,37190.52
392,2011-03-30,29523.85
393,2011-03-31,25621.11
394,2011-04-01,24487.9
395,2011-04-03,6872.53
396,2011-04-04,28998.010000000002
397,2011-04-05,28667.42
398,2011-04-06,12698.32
399,2011-04-07,16780.32
400,2011-04-08,22673.91
401,2011-04-10,9879.75
402,2011-04-11,20179.7
403,2011-04-12,23988.6
404,2011-04-13,24450.27
405,2011-04-14,35682.73
406,2011-04-15,17999.181
407,2011-04-17,12630.34
408,2011-04-18,43671.37
409,2011-04-19,18811.19
410,2011-04-20,25715.8
411,2011-04-21,27771.04
412,2011-04-26,21536.86
413,2011-04-27,23566.91
414,2011-04-28,21312.18
415,2011-05-01,6958.11
416,2011-05-03,28877.21
417,2011-05-04,27509.81
418,2011-05-05,25191.79
419,2011-05-06,30783.33
420,2011-05-08,18731.98
421,2011-05-09,21608.16
422,2011-05-10,29807.25
423,2011-05-11,31848.3
424,2011-05-12,59827.74
425,2011-05-13,25815.72
426,2011-05-15,9667.15
427,2011-05-16,35706.7
428,2011-05-17,46361.090000000004
429,2011-05-18,32775.69
430,2011-05-19,31521.87
431,2011-05-20,25351.44
432,2011-05-22,24102.0
433,2011-05-23,31232.53
434,2011-05-24,32460.83
435,2011-05-25,21870.71
436,2011-05-26,32764.38
437,2011-05-27,21109.22
438,2011-05-29,7338.94
439,2011-05-31,18133.2
440,2011-06-01,15380.39
441,2011-06-02,28078.91
442,2011-06-03,15024.11
443,2011-06-05,25423.760000000002
444,2011-06-06,16269.03
445,2011-06-07,33807.85
446,2011-06-08,30122.23
447,2011-06-09,42862.8
448,2011-06-10,58245.12
449,2011-06-12,12397.09
450,2011-06-13,19696.66
451,2011-06-14,33324.49
452,2011-06-15,44954.18
453,2011-06-16,32252.1
454,2011-06-17,19053.53
455,2011-06-19,22421.48
456,2011-06-20,26110.99
457,2011-06-21,19827.91
458,2011-06-22,21143.75
459,2011-06-23,22469.62
460,2011-06-24,16016.04
461,2011-06-26,7032.36
462,2011-06-27,13381.75
463,2011-06-28,30470.88
464,2011-06-29,12569.78
465,2011-06-30,41709.24
466,2011-07-01,12146.44
467,2011-07-03,5972.7300000000005
468,2011-07-04,30941.37
469,2011-07-05,25988.510000000002
470,2011-07-06,22934.22
471,2011-07-07,27860.38
472,2011-07-08,17538.5
473,2011-07-10,5959.54
474,2011-07-11,20008.83
475,2011-07-12,17938.49
476,2011-07-13,19411.52
477,2011-07-14,31979.04
478,2011-07-15,11814.7
479,2011-07-17,16926.15
480,2011-07-18,22001.63
481,2011-07-19,46583.01
482,2011-07-20,27021.06
483,2011-07-21,30271.940000000002
484,2011-07-22,14628.88
485,2011-07-24,26777.920000000002
486,2011-07-25,19676.55
487,2011-07-26,17284.301
488,2011-07-27,22846.13
489,2011-07-28,54171.950000000004
490,2011-07-29,17166.75
491,2011-07-31,33112.36
492,2011-08-01,19778.12
493,2011-08-02,20272.0
494,2011-08-03,26572.83
495,2011-08-04,62074.19
496,2011-08-05,19703.95
497,2011-08-07,7541.91
498,2011-08-08,19743.98
499,2011-08-09,25949.920000000002
500,2011-08-10,19853.41
501,2011-08-11,54325.27
502,2011-08-12,17970.170000000002
503,2011-08-14,5701.87
504,2011-08-15,17235.95
505,2011-08-16,16072.710000000001
506,2011-08-17,48554.44
507,2011-08-18,54034.98
508,2011-08-19,17326.07
509,2011-08-21,14410.25
510,2011-08-22,29617.26
511,2011-08-23,22384.02
512,2011-08-24,38371.37
513,2011-08-25,22441.260000000002
514,2011-08-26,24095.49
515,2011-08-28,10686.56
516,2011-08-30,8805.17
517,2011-08-31,20527.89
518,2011-09-01,37358.62
519,2011-09-02,30203.86
520,2011-09-04,16930.43
521,2011-09-05,35439.91
522,2011-09-06,25466.97
523,2011-09-07,21967.420000000002
524,2011-09-08,23048.38
525,2011-09-09,25082.86
526,2011-09-11,35206.92
527,2011-09-12,27777.36
528,2011-09-13,48116.5
529,2011-09-14,22013.75
530,2011-09-15,71926.69
531,2011-09-16,23245.03
532,2011-09-18,15639.55
533,2011-09-19,46588.21
534,2011-09-20,103377.68
535,2011-09-21,38472.1
536,2011-09-22,57734.98
537,2011-09-23,31753.75
538,2011-09-25,31164.781
539,2011-09-26,29265.511
540,2011-09-27,29212.32
541,2011-09-28,39001.91
542,2011-09-29,44671.27
543,2011-09-30,40023.44
544,2011-10-02,11479.98
545,2011-10-03,62143.07
546,2011-10-04,38532.090000000004
547,2011-10-05,73975.57
548,2011-10-06,60258.53
549,2011-10-07,49089.47
550,2011-10-09,12215.51
551,2011-10-10,42962.8
552,2011-10-11,46401.14
553,2011-10-12,27655.2
554,2011-10-13,32850.25
555,2011-10-14,32071.62
556,2011-10-16,21767.94
557,2011-10-17,46868.65
558,2011-10-18,37248.16
559,2011-10-19,37227.88
560,2011-10-20,60910.3
561,2011-10-21,60364.01
562,2011-10-23,12156.57
563,2011-10-24,38897.89
564,2011-10-25,36113.86
565,2011-10-26,34105.36
566,2011-10-27,55747.200000000004
567,2011-10-28,37194.58
568,2011-10-30,34397.95
569,2011-10-31,33006.87
570,2011-11-01,29069.56
571,2011-11-02,38536.44
572,2011-11-03,60536.09
573,2011-11-04,55716.47
574,2011-11-06,42508.590000000004
575,2011-11-07,28602.73
576,2011-11-08,38151.91
577,2011-11-09,61241.58
578,2011-11-10,70373.03
579,2011-11-11,36932.07
580,2011-11-13,28416.010000000002
581,2011-11-14,58595.22
582,2011-11-15,47535.51
583,2011-11-16,48154.12
584,2011-11-17,55683.49
585,2011-11-18,36606.25
586,2011-11-20,29642.39
587,2011-11-21,45202.01
588,2011-11-22,49438.55
589,2011-11-23,71722.75
590,2011-11-24,38359.69
591,2011-11-25,26542.33
592,2011-11-27,16969.25
593,2011-11-28,51632.21
594,2011-11-29,48640.57
595,2011-11-30,41396.79
596,2011-12-01,44405.37
597,2011-12-02,44526.1
598,2011-12-04,20232.0
599,2011-12-05,58081.090000000004
600,2011-12-06,45989.66
601,2011-12-07,69230.6
602,2011-12-08,50395.96
603,2011-12-09,184347.66
